name,value,unit,min,max,frozen,error
norm,9.320e-01,,0.000e+00,nan,False,2.047e-02
tilt,-2.410e-01,,nan,nan,False,2.839e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
index,2.650e+00,,nan,nan,False,8.180e-02
amplitude,1.400e-11,cm-2 s-1 TeV-1,nan,nan,False,9.461e-13
reference,5.560e-01,TeV,nan,nan,True,0.000e+00
lon_0,4.455e+01,deg,nan,nan,False,2.900e-03
lat_0,-8.963e+00,deg,-9.000e+01,9.000e+01,False,2.985e-03
norm,1.064e+00,,0.000e+00,nan,False,2.441e-02
tilt,-2.189e-01,,nan,nan,False,2.803e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.115e+00,,0.000e+00,nan,False,2.931e-02
tilt,-4.091e-01,,nan,nan,False,2.685e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.215e+00,,0.000e+00,nan,False,3.504e-02
tilt,-5.347e-01,,nan,nan,False,2.579e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.241e+00,,0.000e+00,nan,False,3.778e-02
tilt,-3.901e-01,,nan,nan,False,2.702e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.199e+00,,0.000e+00,nan,False,4.091e-02
tilt,-3.182e-01,,nan,nan,False,2.846e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.110e+00,,0.000e+00,nan,False,3.857e-02
tilt,-3.085e-01,,nan,nan,False,2.806e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.147e+00,,0.000e+00,nan,False,5.982e-02
tilt,-2.273e-01,,nan,nan,False,4.311e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
